AnnoA;AteneoCOD;AteneoNOME;Isc_M;Isc_F
2020/2021;Aosta;00701;312;700
2020/2021;Bari;07201;15803;26040
2020/2021;Bari Politecnico;07202;7314;3146
2020/2021;Basilicata;07601;2605;3529
2020/2021;Benevento - Giustino Fortunato;06202;525;648
2020/2021;Bergamo;01601;8199;13720
2020/2021;Bologna;03701;36037;45598
2020/2021;Bolzano;02101;1252;2833
2020/2021;Bra - Scienze Gastronomiche;00401;167;156
2020/2021;Brescia;01701;8027;6966
2020/2021;Cagliari;09201;10489;15089
2020/2021;Calabria;07801;10170;14021
2020/2021;Camerino;04302;3203;2908
2020/2021;Casamassima - LUM;07203;865;593
2020/2021;Cassino;06001;3149;3636
2020/2021;Castellanza LIUC;01201;1701;920
2020/2021;Catania;08701;15874;21532
2020/2021;Catanzaro;07901;4066;6355
2020/2021;Chieti e Pescara;06901;7962;14575
2020/2021;Enna - KORE;08601;1574;3309
2020/2021;Ferrara;03801;10374;15296
2020/2021;Firenze;04801;23076;31793
2020/2021;Firenze IUL;04804;192;484
2020/2021;Foggia;07101;4283;7114
2020/2021;Genova;01001;14655;18580
2020/2021;Insubria;01202;5502;6489
2020/2021;L'Aquila;06601;6545;8224
2020/2021;Macerata;04301;2375;6976
2020/2021;Marche;04201;8279;6796
2020/2021;Messina;08301;8909;14709
2020/2021;Milano;01501;25312;37202
2020/2021;Milano Bicocca;01509;13561;21779
2020/2021;Milano Bocconi;01503;7998;5608
2020/2021;Milano Cattolica;01504;13633;27432
2020/2021;Milano IULM;01505;1827;5113
2020/2021;Milano Politecnico;01502;29789;15275
2020/2021;Milano San Raffaele;01508;1166;2094
2020/2021;Modena e Reggio Emilia;03601;13093;14705
2020/2021;Molise;07001;2641;3947
2020/2021;Napoli Benincasa;06304;1075;6387
2020/2021;Napoli Federico II;06301;31790;39614
2020/2021;Napoli II;06306;9334;13638
2020/2021;Napoli L'Orientale;06303;2289;9159
2020/2021;Napoli Parthenope;06302;6318;4595
2020/2021;Napoli Pegaso;06307;12724;12150
2020/2021;Novedrate e-Campus;01301;9301;10852
2020/2021;Padova;02801;29946;33934
2020/2021;Palermo;08201;16922;23627
2020/2021;Parma;03401;11646;16199
2020/2021;Pavia;01801;10366;13223
2020/2021;Perugia;05401;10721;15372
2020/2021;Perugia Stranieri;05403;358;742
2020/2021;Piemonte Orientale;00201;5515;8264
2020/2021;Pisa;05001;22855;24594
2020/2021;Reggio Calabria;08001;2150;2687
2020/2021;Reggio Calabria - Dante Alighieri;08003;95;478
2020/2021;Roma - Link Campus;05817;396;159
2020/2021;Roma Biomedico;05808;820;1297
2020/2021;Roma Europea;05812;478;1231
2020/2021;Roma Foro Italico;05806;1566;606
2020/2021;Roma La Sapienza;05801;45007;62254
2020/2021;Roma LUISS;05805;5048;4456
2020/2021;Roma LUMSA;05803;1841;4376
2020/2021;Roma Marconi;05810;2874;3349
2020/2021;Roma Saint Camillus;05818;410;703
2020/2021;Roma San Raffaele;05816;4162;3606
2020/2021;Roma Tor Vergata;05802;11973;13821
2020/2021;Roma Tre;05807;12622;18786
2020/2021;Roma UNICUSANO;05815;2401;2204
2020/2021;Roma UNINETTUNO;05813;2815;2525
2020/2021;Roma UNINT;05809;369;1580
2020/2021;Roma UNITELMA;05811;799;803
2020/2021;Rozzano (MI) Humanitas University;01510;445;779
2020/2021;Salento;07501;6871;11170
2020/2021;Salerno;06501;15262;18772
2020/2021;Sannio;06201;2007;2093
2020/2021;Sassari;09001;4931;8233
2020/2021;Siena;05201;5929;9491
2020/2021;Siena Stranieri;05202;419;2025
2020/2021;Teramo;06701;2482;3286
2020/2021;Torino;00101;31336;50046
2020/2021;Torino Politecnico;00102;24049;9994
2020/2021;Torrevecchia Teatina - Leonardo da Vinci;06902;9;16
2020/2021;Trento;02201;7872;8203
2020/2021;Trieste;03201;6617;8827
2020/2021;Tuscia;05601;3803;4095
2020/2021;Udine;03001;7001;7914
2020/2021;Urbino Carlo Bo;04101;5389;9365
2020/2021;Venezia Cà Foscari;02701;7797;13578
2020/2021;Venezia Iuav;02702;1650;2149
2020/2021;Verona;02301;8353;14972
2019/2020;Aosta;00701;317;702
2019/2020;Bari;07201;15725;26465
2019/2020;Bari Politecnico;07202;6820;3051
2019/2020;Basilicata;07601;2680;3591
2019/2020;Benevento - Giustino Fortunato;06202;635;613
2019/2020;Bergamo;01601;7875;13216
2019/2020;Bologna;03701;35389;44446
2019/2020;Bolzano;02101;1217;2739
2019/2020;Bra - Scienze Gastronomiche;00401;192;180
2019/2020;Brescia;01701;7824;6590
2019/2020;Cagliari;09201;10456;14703
2019/2020;Calabria;07801;10153;14105
2019/2020;Camerino;04302;3202;3091
2019/2020;Casamassima - LUM;07203;941;650
2019/2020;Cassino;06001;3266;3780
2019/2020;Castellanza LIUC;01201;1609;877
2019/2020;Catania;08701;16325;21671
2019/2020;Catanzaro;07901;4227;6732
2019/2020;Chieti e Pescara;06901;8122;14741
2019/2020;Enna - KORE;08601;1602;3159
2019/2020;Ferrara;03801;9303;13456
2019/2020;Firenze;04801;22073;29846
2019/2020;Firenze IUL;04804;106;286
2019/2020;Foggia;07101;3937;6547
2019/2020;Genova;01001;13574;16962
2019/2020;Insubria;01202;5252;6137
2019/2020;L'Aquila;06601;7118;8689
2019/2020;Macerata;04301;2622;7351
2019/2020;Marche;04201;8264;6747
2019/2020;Messina;08301;8338;14248
2019/2020;Milano;01501;25152;35908
2019/2020;Milano Bicocca;01509;13213;20399
2019/2020;Milano Bocconi;01503;7958;5627
2019/2020;Milano Cattolica;01504;13921;27329
2019/2020;Milano IULM;01505;1874;4910
2019/2020;Milano Politecnico;01502;30139;15293
2019/2020;Milano San Raffaele;01508;1125;1837
2019/2020;Modena e Reggio Emilia;03601;12558;14106
2019/2020;Molise;07001;2808;3913
2019/2020;Napoli Benincasa;06304;1244;7115
2019/2020;Napoli Federico II;06301;33154;40883
2019/2020;Napoli II;06306;9375;13360
2019/2020;Napoli L'Orientale;06303;2330;9237
2019/2020;Napoli Parthenope;06302;6125;4637
2019/2020;Napoli Pegaso;06307;30508;23445
2019/2020;Novedrate e-Campus;01301;10418;11431
2019/2020;Padova;02801;28210;31606
2019/2020;Palermo;08201;16996;23713
2019/2020;Parma;03401;11283;15385
2019/2020;Pavia;01801;10309;12986
2019/2020;Perugia;05401;9914;13592
2019/2020;Perugia Stranieri;05403;380;714
2019/2020;Piemonte Orientale;00201;5175;7947
2019/2020;Pisa;05001;21546;22737
2019/2020;Reggio Calabria;08001;2329;2535
2019/2020;Reggio Calabria - Dante Alighieri;08003;130;566
2019/2020;Roma - Link Campus;05817;618;259
2019/2020;Roma  Mercatorum;05814;4236;2029
2019/2020;Roma Biomedico;05808;786;1232
2019/2020;Roma Europea;05812;419;1074
2019/2020;Roma Foro Italico;05806;1520;567
2019/2020;Roma La Sapienza;05801;44077;59584
2019/2020;Roma LUISS;05805;5154;4312
2019/2020;Roma LUMSA;05803;1892;4254
2019/2020;Roma Marconi;05810;4982;5219
2019/2020;Roma Saint Camillus;05818;196;365
2019/2020;Roma San Raffaele;05816;3770;2932
2019/2020;Roma Tor Vergata;05802;12517;14190
2019/2020;Roma Tre;05807;12481;18307
2019/2020;Roma UNICUSANO;05815;10742;8066
2019/2020;Roma UNINETTUNO;05813;8953;6138
2019/2020;Roma UNINT;05809;352;1416
2019/2020;Roma UNITELMA;05811;1127;1104
2019/2020;Rozzano (MI) Humanitas University;01510;420;751
2019/2020;Salento;07501;6655;10790
2019/2020;Salerno;06501;15627;19490
2019/2020;Sannio;06201;2074;2227
2019/2020;Sassari;09001;4920;8358
2019/2020;Siena;05201;6104;9359
2019/2020;Siena Stranieri;05202;369;1801
2019/2020;Teramo;06701;2353;3136
2019/2020;Torino;00101;29103;45915
2019/2020;Torino Politecnico;00102;23128;9351
2019/2020;Torrevecchia Teatina - Leonardo da Vinci;06902;22;37
2019/2020;Trento;02201;8233;8550
2019/2020;Trieste;03201;6602;8853
2019/2020;Tuscia;05601;3846;4026
2019/2020;Udine;03001;7121;7729
2019/2020;Urbino Carlo Bo;04101;5465;9037
2019/2020;Venezia Cà Foscari;02701;7562;13516
2019/2020;Venezia Iuav;02702;1686;2119
2019/2020;Verona;02301;7948;14487
2018/2019;Aosta;00701;316;709
2018/2019;Bari;07201;15978;26716
2018/2019;Bari Politecnico;07202;6805;3009
2018/2019;Basilicata;07601;2704;3706
2018/2019;Benevento - Giustino Fortunato;06202;547;389
2018/2019;Bergamo;01601;7411;12039
2018/2019;Bologna;03701;35371;44708
2018/2019;Bolzano;02101;1199;2560
2018/2019;Bra - Scienze Gastronomiche;00401;192;168
2018/2019;Brescia;01701;7588;6374
2018/2019;Cagliari;09201;10270;14572
2018/2019;Calabria;07801;10674;14591
2018/2019;Camerino;04302;3414;3390
2018/2019;Casamassima - LUM;07203;900;597
2018/2019;Cassino;06001;3338;3911
2018/2019;Castellanza LIUC;01201;1491;794
2018/2019;Catania;08701;16855;22611
2018/2019;Catanzaro;07901;4165;6613
2018/2019;Chieti e Pescara;06901;8574;15094
2018/2019;Enna - KORE;08601;1662;3158
2018/2019;Ferrara;03801;8505;11811
2018/2019;Firenze;04801;21790;29861
2018/2019;Firenze IUL;04804;73;201
2018/2019;Foggia;07101;3929;6427
2018/2019;Genova;01001;13521;16750
2018/2019;Insubria;01202;4875;5828
2018/2019;L'Aquila;06601;7020;8890
2018/2019;Macerata;04301;2760;7438
2018/2019;Marche;04201;8288;6718
2018/2019;Messina;08301;8352;14099
2018/2019;Milano;01501;24681;34731
2018/2019;Milano Bicocca;01509;12880;20256
2018/2019;Milano Bocconi;01503;7763;5763
2018/2019;Milano Cattolica;01504;13714;26148
2018/2019;Milano IULM;01505;1797;4454
2018/2019;Milano Politecnico;01502;29789;14857
2018/2019;Milano San Raffaele;01508;1088;1722
2018/2019;Modena e Reggio Emilia;03601;11680;13264
2018/2019;Molise;07001;2823;3991
2018/2019;Napoli Benincasa;06304;1206;7017
2018/2019;Napoli Federico II;06301;33574;41090
2018/2019;Napoli II;06306;9941;13996
2018/2019;Napoli L'Orientale;06303;2362;9221
2018/2019;Napoli Parthenope;06302;6460;4884
2018/2019;Napoli Pegaso;06307;23244;16552
2018/2019;Novedrate e-Campus;01301;7629;7994
2018/2019;Padova;02801;27656;30984
2018/2019;Palermo;08201;16586;22883
2018/2019;Parma;03401;11029;14729
2018/2019;Pavia;01801;10304;12794
2018/2019;Perugia;05401;10101;13392
2018/2019;Perugia Stranieri;05403;380;671
2018/2019;Piemonte Orientale;00201;4913;7734
2018/2019;Pisa;05001;21642;22724
2018/2019;Reggio Calabria;08001;2444;2491
2018/2019;Reggio Calabria - Dante Alighieri;08003;140;640
2018/2019;Roma - Link Campus;05817;1375;471
2018/2019;Roma  Mercatorum;05814;2554;890
2018/2019;Roma Biomedico;05808;710;1132
2018/2019;Roma Europea;05812;388;850
2018/2019;Roma Foro Italico;05806;1576;555
2018/2019;Roma La Sapienza;05801;43573;58426
2018/2019;Roma LUISS;05805;5070;4217
2018/2019;Roma LUMSA;05803;1756;3984
2018/2019;Roma Marconi;05810;4758;4871
2018/2019;Roma Saint Camillus;05818;75;132
2018/2019;Roma San Raffaele;05816;3095;2373
2018/2019;Roma Tor Vergata;05802;13251;14467
2018/2019;Roma Tre;05807;12700;18490
2018/2019;Roma UNICUSANO;05815;14278;9941
2018/2019;Roma UNINETTUNO;05813;7917;5268
2018/2019;Roma UNINT;05809;333;1206
2018/2019;Roma UNITELMA;05811;915;834
2018/2019;Rozzano (MI) Humanitas University;01510;337;608
2018/2019;Salento;07501;6435;10581
2018/2019;Salerno;06501;15426;19922
2018/2019;Sannio;06201;2246;2389
2018/2019;Sassari;09001;4892;8349
2018/2019;Siena;05201;6430;9290
2018/2019;Siena Stranieri;05202;385;1768
2018/2019;Teramo;06701;2393;3126
2018/2019;Torino;00101;28294;44604
2018/2019;Torino Politecnico;00102;23148;9112
2018/2019;Torrevecchia Teatina - Leonardo da Vinci;06902;30;41
2018/2019;Trento;02201;8154;8370
2018/2019;Trieste;03201;6677;8639
2018/2019;Tuscia;05601;3900;3859
2018/2019;Udine;03001;7115;7739
2018/2019;Urbino Carlo Bo;04101;5405;8820
2018/2019;Venezia Cà Foscari;02701;7428;13359
2018/2019;Venezia Iuav;02702;1813;2145
2018/2019;Verona;02301;8121;14632
2017/2018;Aosta;00701;301;750
2017/2018;Bari;07201;16224;27024
2017/2018;Bari Politecnico;07202;6712;3045
2017/2018;Basilicata;07601;2809;3763
2017/2018;Benevento - Giustino Fortunato;06202;538;278
2017/2018;Bergamo;01601;6953;11142
2017/2018;Bologna;03701;35396;44113
2017/2018;Bolzano;02101;1179;2502
2017/2018;Bra - Scienze Gastronomiche;00401;179;161
2017/2018;Brescia;01701;7559;6403
2017/2018;Cagliari;09201;10387;14777
2017/2018;Calabria;07801;10938;15051
2017/2018;Camerino;04302;3386;3398
2017/2018;Casamassima - LUM;07203;948;601
2017/2018;Cassino;06001;3346;3885
2017/2018;Castellanza LIUC;01201;1365;745
2017/2018;Catania;08701;17651;24420
2017/2018;Catanzaro;07901;4105;6296
2017/2018;Chieti e Pescara;06901;8800;15401
2017/2018;Enna - KORE;08601;1855;3326
2017/2018;Ferrara;03801;7847;10553
2017/2018;Firenze;04801;21374;30305
2017/2018;Firenze IUL;04804;65;160
2017/2018;Foggia;07101;3860;6334
2017/2018;Genova;01001;14515;17482
2017/2018;Insubria;01202;4645;5400
2017/2018;L'Aquila;06601;7088;9123
2017/2018;Macerata;04301;2771;7271
2017/2018;Marche;04201;8345;6857
2017/2018;Messina;08301;8604;14334
2017/2018;Milano;01501;25373;35222
2017/2018;Milano Bicocca;01509;12941;20226
2017/2018;Milano Bocconi;01503;7520;5906
2017/2018;Milano Cattolica;01504;13449;25032
2017/2018;Milano IULM;01505;1670;4062
2017/2018;Milano Politecnico;01502;29162;14511
2017/2018;Milano San Raffaele;01508;1024;1578
2017/2018;Modena e Reggio Emilia;03601;11231;12526
2017/2018;Molise;07001;2797;4097
2017/2018;Napoli Benincasa;06304;1206;7025
2017/2018;Napoli Federico II;06301;33787;41473
2017/2018;Napoli II;06306;10407;14345
2017/2018;Napoli L'Orientale;06303;2377;8843
2017/2018;Napoli Parthenope;06302;6861;5220
2017/2018;Napoli Pegaso;06307;18116;11718
2017/2018;Novedrate e-Campus;01301;5679;5703
2017/2018;Padova;02801;27229;30673
2017/2018;Palermo;08201;16510;22801
2017/2018;Parma;03401;10803;13992
2017/2018;Pavia;01801;9828;12170
2017/2018;Perugia;05401;9879;13105
2017/2018;Perugia Stranieri;05403;321;614
2017/2018;Piemonte Orientale;00201;4745;7386
2017/2018;Pisa;05001;21638;22668
2017/2018;Reggio Calabria;08001;2643;2628
2017/2018;Reggio Calabria - Dante Alighieri;08003;151;709
2017/2018;Roma - Link Campus;05817;1352;525
2017/2018;Roma  Mercatorum;05814;1543;394
2017/2018;Roma Biomedico;05808;693;1088
2017/2018;Roma Europea;05812;337;667
2017/2018;Roma Foro Italico;05806;1602;572
2017/2018;Roma La Sapienza;05801;43040;57351
2017/2018;Roma LUISS;05805;4901;4143
2017/2018;Roma LUMSA;05803;1746;3896
2017/2018;Roma Marconi;05810;4758;4407
2017/2018;Roma San Raffaele;05816;2398;1837
2017/2018;Roma Tor Vergata;05802;13791;14704
2017/2018;Roma Tre;05807;13085;18866
2017/2018;Roma UNICUSANO;05815;12960;8720
2017/2018;Roma UNINETTUNO;05813;6982;4534
2017/2018;Roma UNINT;05809;298;1005
2017/2018;Roma UNITELMA;05811;853;787
2017/2018;Rozzano (MI) Humanitas University;01510;286;435
2017/2018;Salento;07501;6214;10412
2017/2018;Salerno;06501;15363;20225
2017/2018;Sannio;06201;2349;2490
2017/2018;Sassari;09001;4790;8328
2017/2018;Siena;05201;6591;9148
2017/2018;Siena Stranieri;05202;401;1668
2017/2018;Teramo;06701;2506;3352
2017/2018;Torino;00101;28062;43523
2017/2018;Torino Politecnico;00102;22875;8951
2017/2018;Torrevecchia Teatina - Leonardo da Vinci;06902;45;54
2017/2018;Trento;02201;8066;8186
2017/2018;Trieste;03201;6693;8438
2017/2018;Tuscia;05601;4147;3952
2017/2018;Udine;03001;7189;7715
2017/2018;Urbino Carlo Bo;04101;5413;8709
2017/2018;Venezia Cà Foscari;02701;7223;13103
2017/2018;Venezia Iuav;02702;1887;2107
2017/2018;Verona;02301;8346;15119
2016/2017;Aosta;00701;289;770
2016/2017;Bari;07201;16685;27661
2016/2017;Bari Politecnico;07202;6645;3004
2016/2017;Basilicata;07601;2870;3829
2016/2017;Benevento - Giustino Fortunato;06202;497;283
2016/2017;Bergamo;01601;6374;10428
2016/2017;Bologna;03701;34990;43527
2016/2017;Bolzano;02101;1046;2247
2016/2017;Bra - Scienze Gastronomiche;00401;166;153
2016/2017;Brescia;01701;7511;6377
2016/2017;Cagliari;09201;10605;15376
2016/2017;Calabria;07801;10983;15488
2016/2017;Camerino;04302;3475;3468
2016/2017;Casamassima - LUM;07203;847;519
2016/2017;Cassino;06001;3495;4099
2016/2017;Castellanza LIUC;01201;1311;729
2016/2017;Catania;08701;17914;25506
2016/2017;Catanzaro;07901;4068;6220
2016/2017;Chieti e Pescara;06901;9069;15874
2016/2017;Enna - KORE;08601;2016;3498
2016/2017;Ferrara;03801;6961;8599
2016/2017;Firenze;04801;20975;30021
2016/2017;Firenze IUL;04804;47;149
2016/2017;Foggia;07101;3761;6014
2016/2017;Genova;01001;14253;17227
2016/2017;Insubria;01202;4274;5058
2016/2017;L'Aquila;06601;7429;9612
2016/2017;Macerata;04301;2892;7289
2016/2017;Marche;04201;8329;6986
2016/2017;Messina;08301;8510;14348
2016/2017;Milano;01501;24797;34900
2016/2017;Milano Bicocca;01509;12700;20022
2016/2017;Milano Bocconi;01503;7149;6121
2016/2017;Milano Cattolica;01504;13238;23894
2016/2017;Milano IULM;01505;1502;3714
2016/2017;Milano Politecnico;01502;28401;14037
2016/2017;Milano San Raffaele;01508;996;1466
2016/2017;Modena e Reggio Emilia;03601;10426;11729
2016/2017;Molise;07001;2851;4084
2016/2017;Napoli Benincasa;06304;1174;6980
2016/2017;Napoli Federico II;06301;34356;42457
2016/2017;Napoli II;06306;10608;14799
2016/2017;Napoli L'Orientale;06303;2376;8575
2016/2017;Napoli Parthenope;06302;7344;5625
2016/2017;Napoli Pegaso;06307;12879;7353
2016/2017;Novedrate e-Campus;01301;4579;4512
2016/2017;Padova;02801;26990;30860
2016/2017;Palermo;08201;16619;23208
2016/2017;Parma;03401;10492;13394
2016/2017;Pavia;01801;9537;11827
2016/2017;Perugia;05401;9919;13029
2016/2017;Perugia Stranieri;05403;330;551
2016/2017;Piemonte Orientale;00201;4591;7152
2016/2017;Pisa;05001;21975;23239
2016/2017;Reggio Calabria;08001;2904;2943
2016/2017;Reggio Calabria - Dante Alighieri;08003;158;795
2016/2017;Roma - Link Campus;05817;1238;550
2016/2017;Roma  Mercatorum;05814;505;221
2016/2017;Roma Biomedico;05808;678;1005
2016/2017;Roma Europea;05812;314;526
2016/2017;Roma Foro Italico;05806;1611;582
2016/2017;Roma La Sapienza;05801;42921;57565
2016/2017;Roma LUISS;05805;4685;3984
2016/2017;Roma LUMSA;05803;1767;3849
2016/2017;Roma Marconi;05810;5121;4317
2016/2017;Roma San Raffaele;05816;1743;1311
2016/2017;Roma Tor Vergata;05802;14419;15119
2016/2017;Roma Tre;05807;13344;19071
2016/2017;Roma UNICUSANO;05815;12384;8223
2016/2017;Roma UNINETTUNO;05813;6454;4066
2016/2017;Roma UNINT;05809;324;1028
2016/2017;Roma UNITELMA;05811;817;676
2016/2017;Rozzano (MI) Humanitas University;01510;209;312
2016/2017;Salento;07501;6125;10455
2016/2017;Salerno;06501;14932;20427
2016/2017;Sannio;06201;2497;2671
2016/2017;Sassari;09001;4717;8164
2016/2017;Siena;05201;6509;8954
2016/2017;Siena Stranieri;05202;349;1534
2016/2017;Teramo;06701;2566;3537
2016/2017;Torino;00101;26606;41807
2016/2017;Torino Politecnico;00102;22264;8742
2016/2017;Torrevecchia Teatina - Leonardo da Vinci;06902;68;85
2016/2017;Trento;02201;8015;8139
2016/2017;Trieste;03201;6574;8259
2016/2017;Tuscia;05601;4104;3904
2016/2017;Udine;03001;7263;7763
2016/2017;Urbino Carlo Bo;04101;5364;8562
2016/2017;Venezia Cà Foscari;02701;6970;12849
2016/2017;Venezia Iuav;02702;1985;2154
2016/2017;Verona;02301;8336;14775
2015/2016;Aosta;00701;314;804
2015/2016;Bari;07201;17305;29163
2015/2016;Bari Politecnico;07202;6741;3052
2015/2016;Basilicata;07601;2971;3953
2015/2016;Benevento - Giustino Fortunato;06202;465;280
2015/2016;Bergamo;01601;5802;9836
2015/2016;Bologna;03701;34549;43257
2015/2016;Bolzano;02101;956;2072
2015/2016;Bra - Scienze Gastronomiche;00401;155;167
2015/2016;Brescia;01701;7460;6507
2015/2016;Cagliari;09201;10653;15580
2015/2016;Calabria;07801;11141;16034
2015/2016;Camerino;04302;3124;3343
2015/2016;Casamassima - LUM;07203;773;464
2015/2016;Cassino;06001;3555;4270
2015/2016;Castellanza LIUC;01201;1259;692
2015/2016;Catania;08701;18254;26883
2015/2016;Catanzaro;07901;4149;6158
2015/2016;Chieti e Pescara;06901;9237;16520
2015/2016;Enna - KORE;08601;2226;3563
2015/2016;Ferrara;03801;7062;8456
2015/2016;Firenze;04801;20648;29630
2015/2016;Firenze IUL;04804;18;91
2015/2016;Foggia;07101;3522;5747
2015/2016;Genova;01001;14187;17179
2015/2016;Insubria;01202;3998;4878
2015/2016;L'Aquila;06601;7739;10387
2015/2016;Macerata;04301;2852;7129
2015/2016;Marche;04201;8554;7068
2015/2016;Messina;08301;8762;14915
2015/2016;Milano;01501;24899;35501
2015/2016;Milano Bicocca;01509;12393;19693
2015/2016;Milano Bocconi;01503;6960;6285
2015/2016;Milano Cattolica;01504;13097;23393
2015/2016;Milano IULM;01505;1351;3313
2015/2016;Milano Politecnico;01502;27370;13412
2015/2016;Milano San Raffaele;01508;950;1375
2015/2016;Modena e Reggio Emilia;03601;9809;11014
2015/2016;Molise;07001;2858;4095
