AnnoA;AteneoCOD;AteneoNOME;Isc_M;Isc_F
2015/2016;Napoli Benincasa;06304;1159;6952
2015/2016;Napoli Federico II;06301;34570;43388
2015/2016;Napoli II;06306;10839;15089
2015/2016;Napoli L'Orientale;06303;2368;8312
2015/2016;Napoli Parthenope;06302;7690;6122
2015/2016;Napoli Pegaso;06307;8299;4960
2015/2016;Novedrate e-Campus;01301;4013;3850
2015/2016;Padova;02801;26930;31559
2015/2016;Palermo;08201;16561;23618
2015/2016;Parma;03401;10150;12911
2015/2016;Pavia;01801;9375;11697
2015/2016;Perugia;05401;9495;12033
2015/2016;Perugia Stranieri;05403;365;527
2015/2016;Piemonte Orientale;00201;4208;6559
2015/2016;Pisa;05001;21831;23211
2015/2016;Reggio Calabria;08001;3100;3167
2015/2016;Reggio Calabria - Dante Alighieri;08003;161;801
2015/2016;Roma - Link Campus;05817;1200;549
2015/2016;Roma  Mercatorum;05814;171;112
2015/2016;Roma Biomedico;05808;665;1015
2015/2016;Roma Europea;05812;300;461
2015/2016;Roma Foro Italico;05806;1612;617
2015/2016;Roma La Sapienza;05801;42362;57496
2015/2016;Roma LUISS;05805;4256;3860
2015/2016;Roma LUMSA;05803;1817;4066
2015/2016;Roma Marconi;05810;5400;4129
2015/2016;Roma San Raffaele;05816;1207;836
2015/2016;Roma Tor Vergata;05802;14453;15216
2015/2016;Roma Tre;05807;13802;20140
2015/2016;Roma UNICUSANO;05815;10365;6897
2015/2016;Roma UNINETTUNO;05813;6076;3744
2015/2016;Roma UNINT;05809;347;1057
2015/2016;Roma UNITELMA;05811;813;676
2015/2016;Rozzano (MI) Humanitas University;01510;130;214
2015/2016;Salento;07501;6291;10690
2015/2016;Salerno;06501;14291;20691
2015/2016;Sannio;06201;2678;2812
2015/2016;Sassari;09001;4567;7891
2015/2016;Siena;05201;6508;8957
2015/2016;Siena Stranieri;05202;318;1316
2015/2016;Teramo;06701;2577;3619
2015/2016;Torino;00101;25622;40719
2015/2016;Torino Politecnico;00102;21811;8689
2015/2016;Torrevecchia Teatina - Leonardo da Vinci;06902;55;80
2015/2016;Trento;02201;7968;8266
2015/2016;Trieste;03201;6577;8486
2015/2016;Tuscia;05601;3969;3863
2015/2016;Udine;03001;7207;7665
2015/2016;Urbino Carlo Bo;04101;5374;8482
2015/2016;Venezia Cà Foscari;02701;6955;12813
2015/2016;Venezia Iuav;02702;2079;2181
2015/2016;Verona;02301;8084;14593
2014/2015;Aosta;00701;316;836
2014/2015;Bari;07201;17820;30701
2014/2015;Bari Politecnico;07202;7024;3269
2014/2015;Basilicata;07601;3019;4195
2014/2015;Benevento - Giustino Fortunato;06202;385;241
2014/2015;Bergamo;01601;5537;9323
2014/2015;Bologna;03701;33877;43044
2014/2015;Bolzano;02101;899;1859
2014/2015;Bra - Scienze Gastronomiche;00401;131;164
2014/2015;Brescia;01701;7494;6651
2014/2015;Cagliari;09201;10689;15973
2014/2015;Calabria;07801;11712;16915
2014/2015;Camerino;04302;3237;3446
2014/2015;Casamassima - LUM;07203;750;497
2014/2015;Cassino;06001;3682;4507
2014/2015;Castellanza LIUC;01201;1143;674
2014/2015;Catania;08701;18557;28208
2014/2015;Catanzaro;07901;4199;6546
2014/2015;Chieti e Pescara;06901;9709;17651
2014/2015;Enna - KORE;08601;2357;3601
2014/2015;Ferrara;03801;7032;8618
2014/2015;Firenze;04801;20987;30156
2014/2015;Firenze IUL;04804;5;35
2014/2015;Foggia;07101;3470;6055
2014/2015;Genova;01001;14465;17776
2014/2015;Insubria;01202;3895;4971
2014/2015;L'Aquila;06601;9106;12130
2014/2015;Macerata;04301;2813;6916
2014/2015;Marche;04201;8615;7114
2014/2015;Messina;08301;9262;16269
2014/2015;Milano;01501;25082;35596
2014/2015;Milano Bicocca;01509;12329;19824
2014/2015;Milano Bocconi;01503;6880;6449
2014/2015;Milano Cattolica;01504;13023;23401
2014/2015;Milano IULM;01505;1269;3049
2014/2015;Milano Politecnico;01502;26744;13335
2014/2015;Milano San Raffaele;01508;866;1259
2014/2015;Modena e Reggio Emilia;03601;9120;10576
2014/2015;Molise;07001;2884;4136
2014/2015;Napoli Benincasa;06304;1161;6821
2014/2015;Napoli Federico II;06301;35362;45269
2014/2015;Napoli II;06306;10918;15421
2014/2015;Napoli L'Orientale;06303;2347;8110
2014/2015;Napoli Parthenope;06302;8127;6519
2014/2015;Napoli Pegaso;06307;6936;3869
2014/2015;Novedrate e-Campus;01301;3977;3687
2014/2015;Padova;02801;26719;31740
2014/2015;Palermo;08201;17419;25039
2014/2015;Parma;03401;10154;13205
2014/2015;Pavia;01801;9459;11812
2014/2015;Perugia;05401;9749;12586
2014/2015;Perugia Stranieri;05403;359;630
2014/2015;Piemonte Orientale;00201;4067;6332
2014/2015;Pisa;05001;22026;23314
2014/2015;Reggio Calabria;08001;3371;3437
2014/2015;Reggio Calabria - Dante Alighieri;08003;156;748
2014/2015;Roma - Link Campus;05817;929;484
2014/2015;Roma  Mercatorum;05814;161;103
2014/2015;Roma Biomedico;05808;659;982
2014/2015;Roma Europea;05812;311;495
2014/2015;Roma Foro Italico;05806;1556;650
2014/2015;Roma La Sapienza;05801;43104;59390
2014/2015;Roma LUISS;05805;3914;3790
2014/2015;Roma LUMSA;05803;1903;3984
2014/2015;Roma Marconi;05810;5005;3477
2014/2015;Roma San Raffaele;05816;858;532
2014/2015;Roma Tor Vergata;05802;14803;15484
2014/2015;Roma Tre;05807;14295;20534
2014/2015;Roma UNICUSANO;05815;8585;5670
2014/2015;Roma UNINETTUNO;05813;5713;3529
2014/2015;Roma UNINT;05809;331;965
2014/2015;Roma UNITELMA;05811;838;742
2014/2015;Rozzano (MI) Humanitas University;01510;47;94
2014/2015;Salento;07501;6531;11377
2014/2015;Salerno;06501;13981;20952
2014/2015;Sannio;06201;2760;3049
2014/2015;Sassari;09001;4590;8260
2014/2015;Siena;05201;6507;9106
2014/2015;Siena Stranieri;05202;267;1128
2014/2015;Teramo;06701;2604;3723
2014/2015;Torino;00101;25312;40729
2014/2015;Torino Politecnico;00102;21193;8433
2014/2015;Torrevecchia Teatina - Leonardo da Vinci;06902;83;124
2014/2015;Trento;02201;8171;8383
2014/2015;Trieste;03201;6764;8809
2014/2015;Tuscia;05601;3866;3740
2014/2015;Udine;03001;7147;7801
2014/2015;Urbino Carlo Bo;04101;5415;8558
2014/2015;Venezia Cà Foscari;02701;6789;12393
2014/2015;Venezia Iuav;02702;2240;2272
2014/2015;Verona;02301;7833;14197
2013/2014;Aosta;00701;325;836
2013/2014;Bari;07201;18049;32109
2013/2014;Bari Politecnico;07202;7319;3389
2013/2014;Basilicata;07601;3212;4233
2013/2014;Benevento - Giustino Fortunato;06202;350;194
2013/2014;Bergamo;01601;5359;9017
2013/2014;Bologna;03701;34115;43530
2013/2014;Bolzano;02101;829;1823
2013/2014;Bra - Scienze Gastronomiche;00401;119;145
2013/2014;Brescia;01701;7490;6714
2013/2014;Cagliari;09201;11050;16764
2013/2014;Calabria;07801;12360;18140
2013/2014;Camerino;04302;3355;3555
2013/2014;Casamassima - LUM;07203;782;518
2013/2014;Cassino;06001;3851;4770
2013/2014;Castellanza LIUC;01201;1092;666
2013/2014;Catania;08701;19431;30239
2013/2014;Catanzaro;07901;4061;6379
2013/2014;Chieti e Pescara;06901;10055;18529
2013/2014;Enna - KORE;08601;2443;3583
2013/2014;Ferrara;03801;7174;8739
2013/2014;Firenze;04801;20802;29676
2013/2014;Firenze IUL;04804;3;18
2013/2014;Foggia;07101;3503;6116
2013/2014;Genova;01001;14604;18107
2013/2014;Insubria;01202;3747;4785
2013/2014;L'Aquila;06601;10524;13512
2013/2014;Macerata;04301;2897;6933
2013/2014;Marche;04201;8676;6992
2013/2014;Messina;08301;9673;16939
2013/2014;Milano;01501;24829;35541
2013/2014;Milano Bicocca;01509;12244;19930
2013/2014;Milano Bocconi;01503;6920;6649
2013/2014;Milano Cattolica;01504;13044;23743
2013/2014;Milano IULM;01505;1264;2935
2013/2014;Milano Politecnico;01502;26508;13296
2013/2014;Milano San Raffaele;01508;855;1146
2013/2014;Modena e Reggio Emilia;03601;8924;10627
2013/2014;Molise;07001;2995;4328
2013/2014;Napoli Benincasa;06304;1195;6885
2013/2014;Napoli Federico II;06301;35749;46399
2013/2014;Napoli II;06306;11138;15541
2013/2014;Napoli L'Orientale;06303;2299;8185
2013/2014;Napoli Parthenope;06302;8655;6847
2013/2014;Napoli Pegaso;06307;5862;3055
2013/2014;Novedrate e-Campus;01301;3590;3134
2013/2014;Padova;02801;26218;32148
2013/2014;Palermo;08201;17949;26207
2013/2014;Parma;03401;10792;14143
2013/2014;Pavia;01801;9652;11885
2013/2014;Perugia;05401;9956;12939
2013/2014;Perugia Stranieri;05403;392;708
2013/2014;Piemonte Orientale;00201;3961;6133
2013/2014;Pisa;05001;21730;23404
2013/2014;Reggio Calabria;08001;3780;3871
2013/2014;Reggio Calabria - Dante Alighieri;08003;120;645
2013/2014;Roma - Link Campus;05817;787;400
2013/2014;Roma  Mercatorum;05814;160;91
2013/2014;Roma Biomedico;05808;626;941
2013/2014;Roma Europea;05812;340;547
2013/2014;Roma Foro Italico;05806;1524;683
2013/2014;Roma La Sapienza;05801;42982;60569
2013/2014;Roma LUISS;05805;3736;3887
2013/2014;Roma LUMSA;05803;1953;4080
2013/2014;Roma Marconi;05810;7891;4382
2013/2014;Roma San Raffaele;05816;609;356
2013/2014;Roma Tor Vergata;05802;15121;15474
2013/2014;Roma Tre;05807;14418;20989
2013/2014;Roma UNICUSANO;05815;7327;4610
2013/2014;Roma UNINETTUNO;05813;5279;3315
2013/2014;Roma UNINT;05809;365;833
2013/2014;Roma UNITELMA;05811;892;787
2013/2014;Salento;07501;6693;12186
2013/2014;Salerno;06501;13680;21332
2013/2014;Sannio;06201;2969;3227
2013/2014;Sassari;09001;4750;8582
2013/2014;Siena;05201;6494;9287
2013/2014;Siena Stranieri;05202;211;925
2013/2014;Teramo;06701;2758;3931
2013/2014;Torino;00101;24936;40539
2013/2014;Torino Politecnico;00102;20599;8207
2013/2014;Torrevecchia Teatina - Leonardo da Vinci;06902;132;158
2013/2014;Trento;02201;8173;8360
2013/2014;Trieste;03201;7193;9352
2013/2014;Tuscia;05601;3756;3681
2013/2014;Udine;03001;7112;8085
2013/2014;Urbino Carlo Bo;04101;5420;8548
2013/2014;Venezia Cà Foscari;02701;6798;12585
2013/2014;Venezia Iuav;02702;2408;2317
2013/2014;Verona;02301;7760;14185
2012/2013;Aosta;00701;334;873
2012/2013;Bari;07201;18414;33497
2012/2013;Bari Politecnico;07202;7667;3519
2012/2013;Basilicata;07601;3479;4451
2012/2013;Benevento - Giustino Fortunato;06202;303;183
2012/2013;Bergamo;01601;5453;9081
2012/2013;Bologna;03701;34260;44341
2012/2013;Bolzano;02101;859;1900
2012/2013;Bra - Scienze Gastronomiche;00401;126;142
2012/2013;Brescia;01701;7546;6668
2012/2013;Cagliari;09201;11420;17553
2012/2013;Calabria;07801;12767;18836
2012/2013;Camerino;04302;3587;3708
2012/2013;Casamassima - LUM;07203;816;491
2012/2013;Cassino;06001;4080;5049
2012/2013;Castellanza LIUC;01201;1108;653
2012/2013;Catania;08701;20294;32297
2012/2013;Catanzaro;07901;3893;6159
2012/2013;Chieti e Pescara;06901;10436;19518
2012/2013;Enna - KORE;08601;2483;3509
2012/2013;Ferrara;03801;7400;9262
2012/2013;Firenze;04801;21289;30477
2012/2013;Firenze IUL;04804;5;19
2012/2013;Foggia;07101;3731;6293
2012/2013;Genova;01001;14932;18947
2012/2013;Insubria;01202;3817;4815
2012/2013;L'Aquila;06601;10809;13538
2012/2013;Macerata;04301;3040;7244
2012/2013;Marche;04201;8843;7032
2012/2013;Messina;08301;10583;18401
2012/2013;Milano;01501;24600;35359
2012/2013;Milano Bicocca;01509;12277;20252
2012/2013;Milano Bocconi;01503;6868;6558
2012/2013;Milano Cattolica;01504;13290;24484
2012/2013;Milano IULM;01505;1276;2970
2012/2013;Milano Politecnico;01502;26007;13077
2012/2013;Milano San Raffaele;01508;837;1153
2012/2013;Modena e Reggio Emilia;03601;8782;10386
2012/2013;Molise;07001;3102;4386
2012/2013;Napoli Benincasa;06304;1356;7673
2012/2013;Napoli Federico II;06301;36672;48001
2012/2013;Napoli II;06306;11805;16404
2012/2013;Napoli L'Orientale;06303;2290;8109
2012/2013;Napoli Parthenope;06302;8780;7060
2012/2013;Napoli Pegaso;06307;2910;1810
2012/2013;Novedrate e-Campus;01301;3395;2758
2012/2013;Padova;02801;26308;33051
2012/2013;Palermo;08201;18581;27785
2012/2013;Parma;03401;11457;15023
2012/2013;Pavia;01801;9668;12206
2012/2013;Perugia;05401;10751;14164
2012/2013;Perugia Stranieri;05403;449;775
2012/2013;Piemonte Orientale;00201;3914;6085
2012/2013;Pisa;05001;21666;23525
2012/2013;Reggio Calabria;08001;4219;4295
2012/2013;Reggio Calabria - Dante Alighieri;08003;114;577
2012/2013;Roma  Mercatorum;05814;137;63
2012/2013;Roma Biomedico;05808;618;920
2012/2013;Roma Europea;05812;371;569
2012/2013;Roma Foro Italico;05806;1486;662
2012/2013;Roma La Sapienza;05801;44883;64327
2012/2013;Roma LUISS;05805;3728;4025
2012/2013;Roma LUMSA;05803;2050;4308
2012/2013;Roma Marconi;05810;7448;3875
2012/2013;Roma San Raffaele;05816;551;291
2012/2013;Roma Tor Vergata;05802;15104;15966
2012/2013;Roma Tre;05807;14470;21284
2012/2013;Roma UNICUSANO;05815;7410;4091
2012/2013;Roma UNINETTUNO;05813;4914;3107
2012/2013;Roma UNINT;05809;405;803
2012/2013;Roma UNITELMA;05811;913;821
2012/2013;Salento;07501;6988;13222
2012/2013;Salerno;06501;13849;21978
2012/2013;Sannio;06201;3003;3267
2012/2013;Sassari;09001;4908;9076
2012/2013;Siena;05201;6745;9632
2012/2013;Siena Stranieri;05202;165;787
2012/2013;Teramo;06701;3011;4078
2012/2013;Torino;00101;24892;40819
2012/2013;Torino Politecnico;00102;19854;7940
2012/2013;Torrevecchia Teatina - Leonardo da Vinci;06902;142;184
2012/2013;Trento;02201;8077;8473
2012/2013;Trieste;03201;7528;9833
2012/2013;Tuscia;05601;3656;3584
2012/2013;Udine;03001;7263;8361
2012/2013;Urbino Carlo Bo;04101;5596;8854
2012/2013;Venezia Cà Foscari;02701;6490;12207
2012/2013;Venezia Iuav;02702;2679;2500
2012/2013;Verona;02301;7987;14638
2011/2012;Aosta;00701;308;908
2011/2012;Bari;07201;19187;35692
2011/2012;Bari Politecnico;07202;8161;3656
2011/2012;Basilicata;07601;3704;4674
2011/2012;Benevento - Giustino Fortunato;06202;327;161
2011/2012;Bergamo;01601;5642;9210
2011/2012;Bologna;03701;34862;45213
2011/2012;Bolzano;02101;846;1984
2011/2012;Bra - Scienze Gastronomiche;00401;125;129
2011/2012;Brescia;01701;7568;6751
2011/2012;Cagliari;09201;12015;18889
2011/2012;Calabria;07801;13297;19583
2011/2012;Camerino;04302;3816;3780
2011/2012;Casamassima - LUM;07203;812;480
2011/2012;Cassino;06001;4497;5665
2011/2012;Castellanza LIUC;01201;1208;628
2011/2012;Catania;08701;20854;33117
2011/2012;Catanzaro;07901;3912;6274
2011/2012;Chieti e Pescara;06901;11147;20653
2011/2012;Enna - KORE;08601;2521;3631
2011/2012;Ferrara;03801;7744;9776
2011/2012;Firenze;04801;22377;31603
2011/2012;Firenze IUL;04804;6;21
2011/2012;Foggia;07101;3854;6618
2011/2012;Genova;01001;15768;20353
2011/2012;Insubria;01202;3947;5059
2011/2012;L'Aquila;06601;10842;13219
2011/2012;Macerata;04301;3229;7778
2011/2012;Marche;04201;9202;7031
2011/2012;Messina;08301;11433;19715
2011/2012;Milano;01501;24786;35546
2011/2012;Milano Bicocca;01509;12134;20315
2011/2012;Milano Bocconi;01503;6856;6446
2011/2012;Milano Cattolica;01504;13341;24682
2011/2012;Milano IULM;01505;1344;3042
2011/2012;Milano Politecnico;01502;25766;12954
2011/2012;Milano San Raffaele;01508;799;1171
2011/2012;Modena e Reggio Emilia;03601;8851;10538
2011/2012;Molise;07001;3173;4599
2011/2012;Napoli Benincasa;06304;1469;8322
2011/2012;Napoli Federico II;06301;38015;49576
2011/2012;Napoli II;06306;12160;16820
2011/2012;Napoli L'Orientale;06303;2228;8006
2011/2012;Napoli Parthenope;06302;9071;7298
2011/2012;Napoli Pegaso;06307;2269;1416
2011/2012;Novedrate e-Campus;01301;3862;2889
2011/2012;Padova;02801;26669;34008
2011/2012;Palermo;08201;19773;29593
2011/2012;Parma;03401;12652;16199
2011/2012;Pavia;01801;9746;12193
2011/2012;Perugia;05401;11264;14692
2011/2012;Perugia Stranieri;05403;474;826
2011/2012;Piemonte Orientale;00201;3894;5873
2011/2012;Pisa;05001;21982;24243
2011/2012;Reggio Calabria;08001;4662;4677
2011/2012;Reggio Calabria - Dante Alighieri;08003;80;447
2011/2012;Roma  Mercatorum;05814;144;69
2011/2012;Roma Biomedico;05808;599;862
2011/2012;Roma Europea;05812;359;550
2011/2012;Roma Foro Italico;05806;1434;683
2011/2012;Roma La Sapienza;05801;47055;68695
2011/2012;Roma LUISS;05805;3696;4103
2011/2012;Roma LUMSA;05803;2152;4469
2011/2012;Roma Marconi;05810;7144;3449
2011/2012;Roma San Raffaele;05816;285;154
2011/2012;Roma Tor Vergata;05802;15193;16619
2011/2012;Roma Tre;05807;15021;22040
2011/2012;Roma UNICUSANO;05815;6539;3526
2011/2012;Roma UNINETTUNO;05813;3640;2277
2011/2012;Roma UNINT;05809;430;848
2011/2012;Roma UNITELMA;05811;944;727
2011/2012;Salento;07501;7578;14558
2011/2012;Salerno;06501;14217;22627
2011/2012;Sannio;06201;3247;3490
2011/2012;Sassari;09001;5077;9516
2011/2012;Siena;05201;7225;10581
2011/2012;Siena Stranieri;05202;126;650
2011/2012;Teramo;06701;3318;4538
2011/2012;Torino;00101;25125;41146
2011/2012;Torino Politecnico;00102;19881;7766
2011/2012;Torrevecchia Teatina - Leonardo da Vinci;06902;144;206
2011/2012;Trento;02201;8152;8619
2011/2012;Trieste;03201;8052;10798
2011/2012;Tuscia;05601;4315;3696
2011/2012;Udine;03001;7415;8615
2011/2012;Urbino Carlo Bo;04101;5723;9320
2011/2012;Venezia Cà Foscari;02701;6421;11892
2011/2012;Venezia Iuav;02702;2900;2732
2011/2012;Verona;02301;7964;14976
2010/2011;Aosta;00701;305;939
2010/2011;Bari;07201;20134;37392
2010/2011;Bari Politecnico;07202;8620;3804
2010/2011;Basilicata;07601;3723;4783
2010/2011;Benevento - Giustino Fortunato;06202;382;175
2010/2011;Bergamo;01601;5759;9276
2010/2011;Bologna;03701;34923;45138
2010/2011;Bolzano;02101;890;2299
2010/2011;Bra - Scienze Gastronomiche;00401;140;109
2010/2011;Brescia;01701;7747;6688
2010/2011;Cagliari;09201;12721;20262
2010/2011;Calabria;07801;13896;20262
2010/2011;Camerino;04302;3965;3809
2010/2011;Casamassima - LUM;07203;826;520
2010/2011;Cassino;06001;4675;6008
2010/2011;Castellanza LIUC;01201;1221;610
2010/2011;Catania;08701;22413;35349
2010/2011;Catanzaro;07901;4267;6704
2010/2011;Chieti e Pescara;06901;11550;20851
2010/2011;Enna - KORE;08601;2500;3729
2010/2011;Ferrara;03801;7984;10024
2010/2011;Firenze;04801;23598;32886
2010/2011;Firenze IUL;04804;4;15
2010/2011;Foggia;07101;4054;6914
2010/2011;Genova;01001;16051;21025
2010/2011;Insubria;01202;4162;5215
2010/2011;L'Aquila;06601;10680;12813
2010/2011;Macerata;04301;3486;8120
2010/2011;Marche;04201;9345;7271
2010/2011;Messina;08301;11950;20499
2010/2011;Milano;01501;24947;35511
2010/2011;Milano Bicocca;01509;11961;19763
2010/2011;Milano Bocconi;01503;6937;6335
2010/2011;Milano Cattolica;01504;13650;25461
2010/2011;Milano IULM;01505;1348;3110
2010/2011;Milano Politecnico;01502;25559;12700
2010/2011;Milano San Raffaele;01508;743;1209
2010/2011;Modena e Reggio Emilia;03601;8855;10616
2010/2011;Molise;07001;3405;4669
2010/2011;Napoli Benincasa;06304;1650;8821
2010/2011;Napoli Federico II;06301;38434;49727
2010/2011;Napoli II;06306;12653;17161
2010/2011;Napoli L'Orientale;06303;2346;8185
2010/2011;Napoli Parthenope;06302;9705;7726
2010/2011;Napoli Pegaso;06307;4173;1750
2010/2011;Novedrate e-Campus;01301;3726;2485
2010/2011;Padova;02801;27106;34455
2010/2011;Palermo;08201;21281;31625
2010/2011;Parma;03401;13411;17170
2010/2011;Pavia;01801;10055;12552
2010/2011;Perugia;05401;11958;15649
2010/2011;Perugia Stranieri;05403;601;875
2010/2011;Piemonte Orientale;00201;3747;5939
2010/2011;Pisa;05001;22258;24330
2010/2011;Reggio Calabria;08001;4924;4908
2010/2011;Reggio Calabria - Dante Alighieri;08003;71;285
2010/2011;Roma  Mercatorum;05814;146;86
2010/2011;Roma Biomedico;05808;559;779
2010/2011;Roma Europea;05812;338;500
2010/2011;Roma Foro Italico;05806;1349;634
2010/2011;Roma La Sapienza;05801;49932;72915
2010/2011;Roma LUISS;05805;3577;4142
2010/2011;Roma LUMSA;05803;2225;4513
2010/2011;Roma Marconi;05810;7142;3029
2010/2011;Roma San Raffaele;05816;205;121
2010/2011;Roma Tor Vergata;05802;14951;16957
2010/2011;Roma Tre;05807;15543;22471
2010/2011;Roma UNICUSANO;05815;6202;3015
2010/2011;Roma UNINETTUNO;05813;3203;2014
2010/2011;Roma UNINT;05809;504;851
2010/2011;Roma UNITELMA;05811;785;585
2010/2011;Salento;07501;8153;15738
2010/2011;Salerno;06501;14584;22789
2010/2011;Sannio;06201;3416;3660
2010/2011;Sassari;09001;5248;9963
2010/2011;Siena;05201;7219;10381
2010/2011;Siena Stranieri;05202;122;559
2010/2011;Teramo;06701;3603;4700
2010/2011;Torino;00101;25079;41486
2010/2011;Torino Politecnico;00102;18748;7390
2010/2011;Torrevecchia Teatina - Leonardo da Vinci;06902;157;222
2010/2011;Trento;02201;7937;8486
2010/2011;Trieste;03201;8290;11057
2010/2011;Tuscia;05601;5103;3868
2010/2011;Udine;03001;7758;8816
2010/2011;Urbino Carlo Bo;04101;5687;9451
2010/2011;Venezia Cà Foscari;02701;6455;11510
2010/2011;Venezia Iuav;02702;3119;2917
2010/2011;Verona;02301;8259;15428
